Plant Name,Material Number,Material Description,Purchasing Group,Purchasing Grp. Name,Safety Stock,Material Group,Planned Delivery Time (Calendar Days),
IAW - WINDSOR PLANT,300000126,LINER PKG 28LB HEB POURABLE BOX,3,NANCY QUESSY,0,RG3000,60,
IAW - WINDSOR PLANT,300000127,LINER PKG 40LB HEB POURABLE BOX,3,NANCY QUESSY,0,RG3000,60,
IAW - WINDSOR PLANT,300000128,BAG INTERSAND ODOUR BUSTER MC ENG/SPAN S,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000129,PAIL SO PHRESH ADV.OC UN 30LB GREEN,3,NANCY QUESSY,0,RG4000,60,
IAW - WINDSOR PLANT,300000130,LID-PAIL SO PHRESH ADV.OC UN 30LB GREEN,3,NANCY QUESSY,6000,RG4000,60,
IAW - WINDSOR PLANT,300000131,PAIL SO PHRESH ADV.OC SC 30LB RED,3,NANCY QUESSY,0,RG4000,60,
IAW - WINDSOR PLANT,300000132,LID-PAIL SO PHRESH DO MULTI SC 30LB RED,3,NANCY QUESSY,3000,RG4000,60,
IAW - WINDSOR PLANT,300000133,BAG SO PHRESH ADV.OC UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000134,BAG (RL) - ODOR LOCK BP 25LB V3,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000135,BAG (RL) - ODOR LOCK UN 13 LB V3,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000137,BAG (RL) - ODOR LOCK LA 13 LB V3,2,ISABELLE PICARD,0,RG1000,150,
