Material,Material Description,Plant,Plant Name,Storage Location,Description of Storage Location,Special Stock Type,Special Stock Type Description,Unrestricted Stock,Stock in Quality Inspection,Blocked Stock,Base Unit,
400000026,INFLATABLE SHIPPING BAGS 96'',2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,17,0,0,EA,
400000026,INFLATABLE SHIPPING BAGS 96'',2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,157,0,0,EA,
400000026,INFLATABLE SHIPPING BAGS 96'',2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,710,0,0,EA,
400000026,INFLATABLE SHIPPING BAGS 96'',2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,2160,0,0,EA,
400000023,SLIP SHEET 48 X 40,2912,ICN - NEWTON PLANT,291B,Zone B,,,1305,0,0,EA,
400000022,SLIP SHEET 48 X 32,2912,ICN - NEWTON PLANT,291C,Zone C,,,410,0,0,EA,
400000021,GAYLORD TRAY (EU),2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,82,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),1710,IAW - WINDSOR PLANT,171F,Loading dock,,,1145,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2911,ICB - BOUCHERVILLE PLANT,291C,Zone C,,,29,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2912,ICN - NEWTON PLANT,291B,Zone B,,,491,0,132,EA,
400000017,DISPOSABLE PALLET (40X48),2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,37,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2915,ICS - ST-ALEXIS PLANT,291A,Zone A,,,520,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,105,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,228,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,11,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,527,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,144,0,0,EA,
400000017,DISPOSABLE PALLET (40X48),2920,Blücare Laboratories inc.,291A,Unrestricted,,,91,0,0,EA,
400000016,CHEP PALLET (40 X 48),2911,ICB - BOUCHERVILLE PLANT,291C,Zone C,,,413,0,0,EA,
400000016,CHEP PALLET (40 X 48),2912,ICN - NEWTON PLANT,291B,Zone B,,,214,0,0,EA,
400000016,CHEP PALLET (40 X 48),2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,573,0,0,EA,
400000016,CHEP PALLET (40 X 48),2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,11,0,0,EA,
400000016,CHEP PALLET (40 X 48),2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,8,0,0,EA,
400000016,CHEP PALLET (40 X 48),2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,1016,0,0,EA,
400000016,CHEP PALLET (40 X 48),2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,4,0,0,EA,
400000016,CHEP PALLET (40 X 48),2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,145,0,0,EA,
400000015,EURO PALLET HT,2911,ICB - BOUCHERVILLE PLANT,291C,Zone C,,,670,0,0,EA,
400000015,EURO PALLET HT,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,372,0,0,EA,
400000015,EURO PALLET HT,2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,11,0,0,EA,
400000015,EURO PALLET HT,2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,347,0,0,EA,
400000015,EURO PALLET HT,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,130,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2911,ICB - BOUCHERVILLE PLANT,291A,Zone A,,,2500,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2912,ICN - NEWTON PLANT,291A,Zone A,,,12000,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2915,ICS - ST-ALEXIS PLANT,291A,Zone A,,,82,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,2027,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,2252,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,6285,0,0,EA,
400000014,"TOP SHEET 60""X72"" CLAIR 1MIL  ROULEAUX",2920,Blücare Laboratories inc.,291A,Unrestricted,,,25,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2911,ICB - BOUCHERVILLE PLANT,291A,Zone A,,,473,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2911,ICB - BOUCHERVILLE PLANT,291B,Zone B,,,584,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2912,ICN - NEWTON PLANT,291B,Zone B,,,11500,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,500,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,160,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,24,0,0,EA,
400000013,EURO SLIP SHEET - 32X48,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,4000,0,0,EA,
