,ICS - ST-ALEXIS PLANT,Forecast1,Saint-Alexis,,,,Month Remainder,,,,,,,,,,,
Status: Phase-Out,300000377,BAG SUPREME CATS LA 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,8045,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"8,045"," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "," 	8,045  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45140001,-,-,-,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Privée,FG on  Hand:,304,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000378,BAG CHICO CHICO UN 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"7,615",Demand, 	-    , 	-    , 	-    ," 	4,000  "," 	4,000  "," 	4,000  "," 	4,000  "," 	4,000  "," 	4,000  "," 	4,000  "," 	4,000  "," 	4,000  "," 	2,408  "," 	2,405  "," 	2,407  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	1,001  "," 	3,388  ", 	-    ,,,,,,,,,,,,
Lead Time: 1d,,0,Supply,,,, 	-    ," 	15,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 15000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,2/2/26,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"4,518"," 	15,518  "," 	11,518  "," 	7,518  "," 	3,518  ", 	(482) ," 	(4,482) "," 	(8,482) "," 	(12,482) "," 	(14,890) "," 	(17,295) "," 	(19,702) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45149991,-,-,-,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Privée,FG on  Hand:,30,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000379,BAG CHICO ODOUR OUT PPB UN 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"16,119",Demand, 	-    , 	-    , 	-    ," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "," 	2,800  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	7,007  "," 	2,618  ", 	-    ,,,,,,,,,,,,
Lead Time: 1d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"13,951"," 	11,151  "," 	8,351  "," 	5,551  "," 	2,751  ", 	(49) ," 	(2,849) "," 	(5,649) "," 	(8,449) "," 	(11,249) "," 	(14,049) "," 	(16,849) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45150001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,72,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000380,BAG ENVIRO-MAGIC NAT UN 15KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,451,Demand, 	-    , 	-    , 	-    ," 	1,000  ", 	-    , 	800  , 	-    ," 	1,008  ", 	-    , 	-    ," 	1,008  ", 	-    , 	-    , 	800  , 	-    
MAGALIE SENECAL-J.,2916,8150,Actuals/PO Scenario, 	864  , 	-    , 	864  ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"7,827"," 	7,827  "," 	7,027  "," 	7,027  "," 	6,019  "," 	6,019  "," 	6,019  "," 	5,011  "," 	5,011  "," 	5,011  "," 	4,211  "," 	4,211  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45150002,45150004,-,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Privée,FG on  Hand:,253,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000381,BAG CANADIAN FINE UN 15KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"14,699",Demand, 	-    , 	-    , 	-    ," 	8,624  "," 	8,624  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "," 	9,660  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	4,968  "," 	16,776  "," 	14,904  ",,,,,,,,,,,,
Lead Time: 1d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"8,022", 	(602) ," 	(10,262) "," 	(19,922) "," 	(29,582) "," 	(39,242) "," 	(48,902) "," 	(58,562) "," 	(68,222) "," 	(77,882) "," 	(87,542) "," 	(97,202) "
,,,Safety Stock,0,,,Notes,remplacé par 300000644,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45150041,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,18,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000382,BAG ENVIRO-MAGIC BP 15KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,446,Demand, 	-    , 	-    , 	-    , 	850  , 	-    ," 	1,200  ", 	-    ," 	1,080  ", 	-    ," 	1,080  ", 	-    , 	-    ," 	1,080  ", 	-    , 	800  
MAGALIE SENECAL-J.,2916,4000,Actuals/PO Scenario, 	936  , 	-    , 	936  ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"3,788"," 	3,788  "," 	2,588  "," 	2,588  "," 	1,508  "," 	1,508  ", 	428  , 	428  , 	428  , 	(652) , 	(652) ," 	(1,452) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45189991,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000383,BAG ANIMAGO PPB UN 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000384,BAG  O'SELECT MA 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000385,BAG O'SELECT MA 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 1d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000386,BAG O'SELECT UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000387,BAG O'SELECT UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    ," 	16,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 16000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,4/1/26,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    ," 	16,000  "," 	16,000  "," 	16,000  "," 	16,000  "," 	16,000  "," 	16,000  "," 	16,000  "," 	16,000  "," 	16,000  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
54416000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,5,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000390,BAG PLB PRONATURE BP 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"9,219",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"9,219"," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "," 	9,219  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
54413000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,52,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000391,BAG PLB PRONATURE UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"4,341",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"3,341"," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "," 	3,341  "
,,,Safety Stock,1000,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
72210000,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000394,BAG BUSINESSCOM HARMONY BP 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
72610000,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,"2,520",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000395,BAG BUSINESSCOM HARMONY LE 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73106000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000396,BAG FELIPURE FRCG 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	1,000  ", 	-    ," 	1,200  ", 	-    , 	-    ," 	1,200  "," 	1,000  ", 	-    ," 	1,200  "," 	1,000  ", 	-    ," 	1,200  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,-774, 	(774) ," 	(1,974) "," 	(1,974) "," 	(1,974) "," 	(3,174) "," 	(4,174) "," 	(4,174) "," 	(5,374) "," 	(6,374) "," 	(6,374) "," 	(7,574) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73112000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000397,BAG FELIPURE FRCG 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	1,512  ", 	-    ," 	1,344  ", 	-    , 	-    ," 	1,428  ", 	-    ," 	1,008  ", 	-    ," 	1,512  "," 	1,008  ", 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	1,428  ", 	-    ," 	3,444  ",,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"-1,171"," 	(1,171) "," 	(2,515) "," 	(2,515) "," 	(2,515) "," 	(3,943) "," 	(3,943) "," 	(4,951) "," 	(4,951) "," 	(6,463) "," 	(7,471) "," 	(7,471) "
,,,Safety Stock,0,,,Notes,attente retour de Jennifer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73206000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000398,BAG FELIPURE MC FRCG 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73206001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"2,366",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000466,RECYCL. LAMINATED BAG FELIPURE FRCG 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	2,600  ", 	-    ," 	1,200  ", 	-    ," 	1,200  ", 	-    ," 	1,200  ", 	-    ," 	1,200  ", 	-    ," 	1,200  ", 	-    
MAGALIE SENECAL-J.,2915,997,Actuals/PO Scenario, 	-    , 	-    ," 	1,045  ",,,,,,,,,,,,
Lead Time: 2d,2916,11200,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
India,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"10,184"," 	10,184  "," 	8,984  "," 	8,984  "," 	7,784  "," 	7,784  "," 	6,584  "," 	6,584  "," 	5,384  "," 	5,384  "," 	4,184  "," 	4,184  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73212000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000399,BAG FELIPURE MC FRCG 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73306000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000400,BAG FELIPURE MC UN 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
